response_id,timestamp,question,images_count,image_descriptions,response,sources,confidence_score,processing_time_ms,tokens_used,model_used,cache_hit,multimodal_analysis,ocr_text,image_similarity_scores,error_message
a2adde15-d413-40a2-aae0-b306024fe0e4,2025-09-02T16:20:05.692692,Test multimodal question avec ID,1,"[""Test image""]",Test multimodal response avec ID,"[""multimodal.pdf""]",0.92,3000.0,200,gpt-4-vision,False,"{""objects"": [""test""]}",Test OCR,[0.85],
023596b1-e691-4938-bbd4-2da9dce04099,2025-09-02T16:39:35.142659,Test multimodal question,2,,Test multimodal response,,,200.8,,test_model,,,,,
1b0977e2-420c-4d51-98a7-e61c20947c47,2025-09-05T15:53:45.646480,Âge de départ à la retraite,,,"L'âge légal de départ à la retraite au Sénégal est de 60 ans pour les salariés du secteur privé affiliés à la CSS. Cependant, il est possible de partir en retraite anticipée sous certaines conditions ou de prolonger l'activité jusqu'à 65 ans.","[""Base de connaissances CSS...""]",,,,deepseek,,,,,
d63cdb20-2b56-4ee7-8f59-655672174363,2025-09-05T16:35:05.387223,Comment calculer ma pension ?,,,"Bonjour,

Pour calculer le montant de votre pension de retraite à l'IPRES, la formule est la suivante :

**Pension mensuelle = Nombre de points servis × Valeur mensuelle du point**

Le montant de votre pension dépend principalement de deux facteurs :
*   **La durée de votre cotisation**
*   **Le niveau de votre salaire** pendant votre carrière

Pour pouvoir prétendre à cette pension, vous devez remplir les conditions d'admission :
*   **Conditions de cotisation :** Avoir cotisé au minimum 10 ans **OU** avoir capitalisé au moins 1 000 points.
*   **Condition d'âge :** Avoir au moins 60 ans (âge normal). Une retraite anticipée est possible à partir de 55 ans, avec un abattement de 5% par année d'anticipation.
*   **Condition d'activité :** Avoir cessé toute activité salariée.

La pension prend effet le premier jour du mois au cours duquel votre demande parvient à l'IPRES.

Pour une estimation précise, je vous invite à vous rapprocher directement de l'IPRES avec votre historique de carrière, qui pourra vous communiquer votre nombre total de points acquis et la valeur actuelle du point.","[""..."", ""..."", ""..."", ""..."", ""...""]",,32044.661283493042,,deepseek,,,,,
ffbc037f-d3f4-4ab1-9932-9424500cb791,2025-09-05T16:39:31.521776,Comment calculer ma pension ?,,,"Bonjour,

Pour calculer le montant de votre pension de retraite à l'IPRES, la formule est la suivante :

**Pension mensuelle = Nombre de points servis × Valeur mensuelle du point**

Le montant de votre pension dépend principalement de deux facteurs :
*   **La durée de votre cotisation**
*   **Le niveau de votre salaire** pendant votre carrière

Pour pouvoir prétendre à cette pension, vous devez remplir les conditions d'admission :
*   **Conditions de cotisation :** Avoir cotisé au minimum 10 ans **OU** avoir capitalisé au moins 1 000 points.
*   **Condition d'âge :** Avoir au moins 60 ans (âge normal). Une retraite anticipée est possible à partir de 55 ans, avec un abattement de 5% par année d'anticipation.
*   **Condition d'activité :** Avoir cessé toute activité salariée.

La pension prend effet le premier jour du mois au cours duquel votre demande parvient à l'IPRES.

Pour une estimation précise, je vous invite à vous rapprocher directement de l'IPRES avec votre historique de carrière, qui pourra vous communiquer votre nombre total de points acquis et la valeur actuelle du point.","[""..."", ""..."", ""..."", ""..."", ""...""]",,0.4775524139404297,,deepseek,,,,,
f255ba9c-a727-4019-9649-01d7f3e40743,2025-09-05T16:48:36.864959,Cotisations employeur,,,"En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, voici les informations concernant les cotisations employeur.

**Obligations de l'employeur :**
L'employeur est tenu de verser spontanément les cotisations sociales sans attendre que les institutions viennent les réclamer. Elles sont dites ""portables et non quérables"". Ces cotisations deviennent immédiatement exigibles en cas de cession, de cessation d’activité ou de cessation complète de l’emploi des salariés.

**Taux de cotisation :**
Le taux de la part employeur varie selon le régime :
*   **Régime Général :** 8,4%
*   **Régime Complémentaire Cadre :** 3,6%
*   **Régime Employés de Maison :** Le taux n'est pas précisé dans les sources fournies.

**Délais de paiement :**
*   **Pour les employeurs de plus de 10 salariés :** Dans les 15 jours suivant la fin du mois échu.
*   **Pour les employeurs de moins de 10 salariés :** Dans les 15 jours suivant la fin du trimestre échu.

**Modes de paiement :**
Le règlement s'effectue en joignant la facture DNS et peut se faire :
*   Par chèque barré à l’ordre de la CSS ou de l’IPRES.
*   En espèces dans les caisses des agences CSS/IPRES.
*   Par virement bancaire aux coordonnées de l'IPRES/CSS.

Pour toute précision spécifique, n'hésitez pas à reformuler votre question.","[""..."", ""..."", ""..."", ""..."", ""...""]",,40109.66348648071,,deepseek,,,,,
d37129d7-dbac-474b-8761-8e86baf17c2f,2025-09-05T16:55:37.435136,Test question,,,"Bonjour,

Je suis l'assistant expert de la Caisse de Sécurité Sociale du Sénégal.

Sur la base des documents fournis, je ne dispose pas d'informations contextuelles spécifiques pour répondre à votre ""Test question"".

Afin de vous apporter une réponse précise et utile, pourriez-vous, s'il vous plaît, reformuler ou préciser votre demande ? Je suis là pour vous renseigner sur les procédures d'immatriculation, les prestations familiales, les droits des participants ou tout autre sujet relatif à la sécurité sociale.

Je reste à votre disposition.","[""..."", ""..."", ""...""]",,23576.287269592285,,deepseek,,,,,
e55e45eb-b9c7-4c64-b5cd-a5d8a026f600,2025-09-05T16:55:48.189636,Test question,,,"Bonjour,

Je suis l'assistant expert de la Caisse de Sécurité Sociale du Sénégal.

Sur la base des documents fournis, je ne dispose pas d'informations contextuelles spécifiques pour répondre à votre ""Test question"".

Afin de vous apporter une réponse précise et utile, pourriez-vous, s'il vous plaît, reformuler ou préciser votre demande ? Je suis là pour vous renseigner sur les procédures d'immatriculation, les prestations familiales, les droits des participants ou tout autre sujet relatif à la sécurité sociale.

Je reste à votre disposition.","[""..."", ""..."", ""...""]",,,,deepseek,,,,,
d3c991b1-8c05-41a2-b70f-18cdf5ca36a3,2025-09-05T16:59:46.232146,Quels documents pour ma retraite ?,,,"Pour s'inscrire à la CSS, vous devez fournir : une copie de votre pièce d'identité, un certificat de travail, les bulletins de salaire des 3 derniers mois, une fiche d'état civil, et le formulaire d'immatriculation dûment rempli.","[""Base de connaissances CSS...""]",,11.481046676635742,,deepseek,,,,,
bd63166d-4bc2-4d99-8984-272562a598a5,2025-09-05T17:04:16.991824,Prestations,,,"Bonjour,

En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, je me permets de vous présenter une synthèse des prestations évoquées dans votre demande.

Votre question est très générale. Afin de vous apporter une réponse précise et utile, je vais distinguer deux grands types de prestations pour lesquelles nous disposons d'informations.

### 1. Prestations en Nature de l'Action Sanitaire, Sociale et Familiale (A.S.S.F)
*   **Objectif** : Compléter les prestations en espèces pour protéger la mère et l'enfant en palliant les insuffisances du système national de santé.

### 2. Prestations en Espèces en cas de décès (Pensions de survivants)
Ces prestations sont soumises à une limite globale : l'ensemble des rentes versées ne peut excéder **85% du salaire annuel** de la victime.

*   **Rente au conjoint survivant** :
    *   **Conditions** : Mariage constaté avant le décès, absence de divorce, de séparation ou de condamnation pour abandon de famille.
    *   **Montant** : 30% du salaire annuel de la victime.
    *   **Polygamie** : Le montant est réparti de manière égale entre les veuves.
    *   **Remariage** : Le droit à la rente cesse s'il n'y a pas d'enfant à charge. Dans ce cas, une indemnité forfaitaire égale à 3 fois le montant de la rente est versée.

*   **Rente aux enfants** :
    *   Le montant varie selon un barème précis :
        *   1 enfant : 15% du salaire annuel
        *   2 enfants : 30% du salaire annuel
        *   3 enfants : 40% du salaire annuel
        *   Chaque enfant supplémentaire : +10%

*   **Rente aux ascendants** :
    *   **Conditions** : L'ascendant doit avoir été à la charge de la victime au moment du décès et ne pas disposer de ressources suffisantes.
    *   **Montant** : 10% par ascendant, avec un maximum de 30% au total.

### Constitution du","[""..."", ""..."", ""...""]",,38632.24196434021,,deepseek,,,,,
