response_id,timestamp,question,response,sources,confidence_score,processing_time_ms,tokens_used,model_used,cache_hit,error_message
3e22eba2-01e3-4b49-8608-4b38f124434c,2025-09-02T16:20:05.692692,Test question avec ID,Test response avec ID,"[""test.pdf""]",0.95,1000.0,100,gpt-4,False,
93b5e051-5157-44ec-890f-2ee53cd19e11,2025-09-02T16:39:35.142659,Test question ultra,Test response ultra,,,100.5,,test_model,,
624dada2-b792-440c-9e8d-2544a8b479c3,2025-09-02T18:48:46.078494,Bonjour,Bonjour ! Comment puis-je vous aider aujourd'hui ?,"[""Base de connaissances CSS...""]",,,,deepseek,,
cb8f2c2d-1f2e-4c96-8451-ddcabb208c80,2025-09-02T18:49:52.306771,Parlez moi des prestations,"Les allocations familiales de la CSS sont versées mensuellement. Le montant varie selon le nombre d'enfants à charge et leur âge. Pour connaître le montant exact applicable à votre situation, veuillez consulter le barème en vigueur auprès de votre agence CSS.","[""Base de connaissances CSS...""]",,10.090112686157227,,deepseek,,
fb1b3489-9a21-4cad-ba4b-35d931aacbe9,2025-09-02T18:51:01.245879,Accidents de travails,"Bonjour,

En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, je me permets de vous apporter les précisions suivantes concernant les accidents du travail, en me basant strictement sur la réglementation en vigueur.

Selon l'article 33 du code de la Sécurité Sociale, cité dans votre documentation, **est considéré comme accident du travail**, quelle qu'en soit la cause, *""l'accident survenu par le fait ou à l'occasion du travail, à toute personne salariée ou travaillant, à quelque titre ou en quelque lieu que ce soit pour le compte d'un employeur""*.

Il existe également une catégorie spécifique : **l'accident de trajet**. Celui-ci est assimilé à un accident du travail. Il concerne tout accident survenu pendant le trajet entre :

*   La résidence principale et le lieu de travail.
*   Le lieu de travail et le lieu où le travailleur prend habituellement ses repas.

Cette protection est soumise à des **conditions importantes** :
*   Le parcours effectué ne doit pas être interrompu ou détourné pour un motif personnel (démarche non liée au travail ou au repas).
*   Les accidents survenant lors de déplacements professionnels dont les frais sont pris en charge par l'employeur sont également couverts.

Pour toute question spécifique sur une situation particulière, je vous invite à nous contacter directement pour un examen détaillé de votre dossier.

Cordialement,  
Votre expert de la Caisse de Sécurité Sociale.","[""..."", ""..."", ""...""]",,32731.767416000366,,deepseek,,
483eddec-707e-4275-9534-a6c1fc1f3c5d,2025-09-02T19:16:15.583568,Prestations familiales,"Les allocations familiales de la CSS sont versées mensuellement. Le montant varie selon le nombre d'enfants à charge et leur âge. Pour connaître le montant exact applicable à votre situation, veuillez consulter le barème en vigueur auprès de votre agence CSS.","[""Base de connaissances CSS...""]",,15.264034271240234,,deepseek,,
03e7d189-982e-48ac-8e98-4a66d9820fb5,2025-09-02T20:57:46.014911,Les cotisations,"En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, voici les informations dont je dispose concernant les cotisations :

D'après les sources disponibles, les cotisations sociales présentent les caractéristiques principales suivantes :

1.  **Exigibilité** : Elles deviennent immédiatement exigibles dans trois cas de figure :
    *   En cas de cession d'activité.
    *   En cas de cessation d'activité.
    *   En cas de cessation complète de l'emploi des salariés.

2.  **Nature** : Elles sont **portables et non quérables**. Cela signifie que c'est à la charge de l'employeur de les verser de manière spontanée et proactive, sans attendre une mise en demeure ou un rappel de la part des Institutions de sécurité sociale.

Pour une réponse plus détaillée sur un aspect spécifique des cotisations (calcul, délais, etc.), je vous invite à reformuler votre question.","[""..."", ""..."", ""...""]",,24864.585161209106,,deepseek,,
38f5ee44-1976-445b-ade2-2ba2839d4e21,2025-09-02T21:12:39.680822,Salut,Salut ! Comment puis-je vous aider aujourd'hui ?,"[""Base de connaissances CSS...""]",,,,deepseek,,
356b2016-699d-4c97-bf23-4ca42db150ea,2025-09-03T17:06:18.709738,"Expliquez-moi les bases du CSS : sélecteurs, propriétés et valeurs","Bonjour,

Je comprends que vous me questionnez sur les bases du CSS. Cependant, je dois vous informer que cette question ne relève pas du domaine de compétence de la Caisse de Sécurité Sociale du Sénégal, dont je suis l'assistant expert.

D'après les informations contextuelles qui me sont fournies, je suis uniquement habilité à vous renseigner sur des sujets liés aux cotisations sociales, aux déclarations, aux modalités de paiement (telles que le virement bancaire à l'ordre de l'IPRES/CSS, le RIB, le portail NDAMLI), aux délais de déclaration pour les employeurs ou aux sanctions en cas de non-respect.

Pourriez-vous, s'il vous plaît, reformuler votre question en la centrant sur les missions et les procédures de la Caisse de Sécurité Sociale du Sénégal ? Je serai ravi de vous apporter une réponse précise et utile.

Je vous remercie pour votre compréhension.","[""..."", ""..."", ""...""]",,33839.24674987793,,deepseek,,
ee08377a-0b5a-41b5-840d-128136e783c4,2025-09-03T17:07:05.855931,Bonjour,Bonjour ! Comment puis-je vous aider aujourd'hui ?,"[""Base de connaissances CSS...""]",,10.028839111328125,,deepseek,,
61cd245e-4204-4f3a-9b60-fd68833a5184,2025-09-03T17:09:01.950145,Comment faire une demande de bourse d'études ?,"Bonjour,

En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, je me permets de vous informer que votre question ne relève pas directement du champ de compétence de la CSS.

Les sources fournies mentionnent les bourses d'études uniquement dans le cadre des **exclusions** pour l'obtention des prestations familiales. Conformément à ces documents, un enfant titulaire d'une bourse entière d'études est exclu du bénéfice de ces allocations.

La CSS gère les prestations sociales (allocations familiales, indemnités journalières, etc.) et non l'attribution des bourses d'études.

Pour obtenir des informations sur la procédure de demande de bourse d'études, je vous conseille de vous rapprocher des institutions concernées, telles que le Ministère de l'Éducation nationale ou les services spécifiques dédiés à l'octroi des bourses.

N'hésitez pas à me poser toute autre question concernant les prestations de la CSS, comme les allocations familiales ou le congé de maternité, pour lesquelles je pourrai vous apporter une réponse précise.","[""..."", ""..."", ""...""]",,32243.417501449585,,deepseek,,
3122dc31-5823-4a76-b413-1f5271da7788,2025-09-03T17:23:24.384795,Bonjour,Bonjour ! Comment puis-je vous aider aujourd'hui ?,"[""Base de connaissances CSS...""]",,,,deepseek,,
9910187d-dbd7-4164-8cd2-f08ca9cdb5d5,2025-09-03T17:27:49.303123,Comment faire une demande de pension de retraite ?,"Bonjour,

En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, je vous informe que les sources fournies détaillent les conditions d'éligibilité et le calcul de la pension de retraite, mais elles ne contiennent malheureusement pas les informations spécifiques sur la procédure à suivre pour déposer une demande.

Les documents mentionnent un point crucial : la date de prise d'effet des allocations, qui est le premier jour du mois au cours duquel la demande parvient à l'IPRES. Cela confirme que l'IPRES (Institution de Prévoyance Retraite du Sénégal) est l'organisme gestionnaire de ce régime.

Par conséquent, pour connaître la procédure exacte de demande (les formulaires à remplir, les pièces justificatives à fournir, les canaux de dépôt...), je vous invite à vous rapprocher directement de l'IPRES.

Pour une réponse plus précise, je vous propose de reformuler votre question en vous focalisant sur un aspect spécifique des conditions d'accès, comme l'âge ou la durée de cotisation, qui sont, eux, bien documentés dans les sources.

Je reste à votre disposition pour toute autre question.","[""..."", ""..."", ""...""]",,36739.17770385742,,deepseek,,
108e4484-c01e-4ef4-a920-8bb579a575a1,2025-09-03T17:30:01.858165,Cotisations,"En tant qu'expert de la Caisse de Sécurité Sociale du Sénégal, voici les informations concernant les cotisations :

**Obligations de l'employeur :**
Les cotisations sociales sont portables et non quérables. Il appartient à l'employeur de les verser spontanément à l'institution, sans attendre d'être réclamé.

**Exigibilité :**
Les cotisations deviennent immédiatement exigibles dans les cas suivants :
- Cession ou cessation d'activité de l'entreprise.
- Cessation complète de l'emploi des salariés.

**Modalités de paiement acceptées :**
Vous pouvez régler votre facture de déclaration par :
- **Chèque barré** à l'ordre de la ""Caisse de Sécurité Sociale (CSS)"" ou de l'""Institution de Prévoyance Retraite du Sénégal (IPRES)"".
- **Paiement en espèces** directement aux caisses de nos agences.
- **Virement bancaire** établi à l'ordre de la ""Caisse de Sécurité Sociale (CSS)"".","[""..."", ""..."", ""...""]",,32161.109447479248,,deepseek,,
9b4835cf-ddfd-42d3-818a-7f476d436a2b,2025-09-03T17:37:22.352712,Cotisations,"En ma qualité d'expert de la Caisse de Sécurité Sociale du Sénégal, voici les informations concernant les cotisations, basées sur notre réglementation :

Les cotisations sociales présentent les caractéristiques suivantes :

1.  **Exigibilité immédiate** : Elles deviennent immédiatement exigibles dans trois cas de figure :
    *   En cas de cession d'activité.
    *   En cas de cessation d'activité.
    *   En cas de cessation complète de l'emploi des salariés.

2.  **Portables et non quérables** : Le principe est que les cotisations sont ""portables"". Cela signifie que c'est à la charge de l'employeur de les déclarer et de les verser spontanément et de manière proactive aux institutions, sans attendre que ces dernières aient à les réclamer (""non quérables"").

En résumé, la responsabilité du versement ponctuel des cotisations incombe entièrement à l'employeur, et cet impératif est accru lors d'événements majeurs affectant l'entreprise ou l'emploi.","[""..."", ""..."", ""...""]",,35723.5746383667,,deepseek,,
69604f3c-189a-4e70-b840-6738171cf07a,2025-09-03T17:38:04.872529,Bonjour,Bonjour ! Comment puis-je vous aider aujourd'hui ?,"[""Base de connaissances CSS...""]",,,,deepseek,,
